Map site number,Site Name,Site Code,Department,Province,District,Latitude,Longitude,On-site measurement,Google Earth,Recorded,Site Location notes (Satellite imagery 2020), 
153,RP Cachiyacu 1,LO-CACHI-11,Loreto,Alto Amazonas,Balsapuerto,-5.862802142,-76.57080009,No,203,-,In the river,"RIVAS PANDURO, Santiago. 1999. Investigaciones arqueológicas en el Distrito de Balsapuerto: el enigma de los petroglifos de Balsapuerto. 45 pp. Informe presentado a la Municipalidad Distrital de Balsapuerto. Lima, Perú. // RIVAS PANDURO, Santiago. 2000. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
154,RP Cachiyacu 2,-,Loreto,Alto Amazonas,Balsapuerto,-5.861670221,-76.55187833,Yes,216,,-,Reported by Santiago Rivas Panduro from field worked conducted in 2015 at PIA Paranapura. 
155,"RP Ojeyacu 1, o Tunu Icha",LO-CACHI-12 / ARQ-03A,Loreto,Alto Amazonas,Balsapuerto,-5.858572415,-76.5699304,Yes,215,-,-,"RIVAS PANDURO, Santiago. 2000. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2003. Los asentamientos prehispánicos de la cuenca del río Cachiyacu, Amazonía peruana. 142 pp. Instituto Cultural Runa. Lima, Perú. // JORDÁN BEJARANO, Carlos Francisco. 2006. Informe del proyecto de evaluación arqueológica en el área del Convenio N° 009-2004-FIP entre el Fondo Ítalo Peruano y la Municipalidad de Balsapuerto, Departamento de Loreto, “Proyecto Mejoramiento de Ganado de doble propósito en el Distrito de Balsapuerto”. 44 pp. Presentado al Instituto Nacional de Cultura. Lima, Perú."
156,RP Ojeyacu 2,LO-CACHI-13,Loreto,Alto Amazonas,Balsapuerto,-5.858572339,-76.56995749,Yes,215,-,-,"RIVAS PANDURO, Santiago. 1999. Investigaciones arqueológicas en el Distrito de Balsapuerto: el enigma de los petroglifos de Balsapuerto. 45 pp. Informe presentado a la Municipalidad Distrital de Balsapuerto. Lima, Perú. // RIVAS PANDURO, Santiago. 2000. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
157,RP Ojeyacu 3,LO-CACHI-14,Loreto,Alto Amazonas,Balsapuerto,-5.858608645,-76.56992146,No,214,-,-,"RIVAS PANDURO, Santiago. 1999. Investigaciones arqueológicas en el Distrito de Balsapuerto: el enigma de los petroglifos de Balsapuerto. 45 pp. Informe presentado a la Municipalidad Distrital de Balsapuerto. Lima, Perú. // RIVAS PANDURO, Santiago. 2000. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
158,RP Ojeyacu 4,LO-CACHI-15,Loreto,Alto Amazonas,Balsapuerto,-5.858789327,-76.56998518,No,213,-,-,"RIVAS PANDURO, Santiago. 1999. Investigaciones arqueológicas en el Distrito de Balsapuerto: el enigma de los petroglifos de Balsapuerto. 45 pp. Informe presentado a la Municipalidad Distrital de Balsapuerto. Lima, Perú. // RIVAS PANDURO, Santiago. 2000. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
159,RP Ojeyacu 5,LO-CACHI-16,Loreto,Alto Amazonas,Balsapuerto,-5.858753105,-76.57000314,No,213,-,-,"RIVAS PANDURO, Santiago. 1999. Investigaciones arqueológicas en el Distrito de Balsapuerto: el enigma de los petroglifos de Balsapuerto. 45 pp. Informe presentado a la Municipalidad Distrital de Balsapuerto. Lima, Perú. // RIVAS PANDURO, Santiago. 2000. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
160,RTL Ojeyacu 6 [RTL I],-,Loreto,Alto Amazonas,Balsapuerto,-5.858481808,-76.56999336,Yes,216,-,-,"RIVAS PANDURO, Santiago. 2011. Informe N° 075-2011/AA/MC-DRC-L/SRP. 27 pp. Informe sobre visita al Distrito de Balsapuerto para reconocer y registrar los petroglifos de las cuencas del Cachiyacu y Armanayacu, a solicitud de la ONG Terra Nuova. Presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura."
161,RTL Ojeyacu 7 [RTL II],-,Loreto,Alto Amazonas,Balsapuerto,-5.858508988,-76.56997537,Yes,215,-,-,"RIVAS PANDURO, Santiago. 2011. Informe N° 075-2011/AA/MC-DRC-L/SRP. 27 pp. Informe sobre visita al Distrito de Balsapuerto para reconocer y registrar los petroglifos de las cuencas del Cachiyacu y Armanayacu, a solicitud de la ONG Terra Nuova. Presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura."
162,RTL Ojeyacu 8 [RTL III],-,Loreto,Alto Amazonas,Balsapuerto,-5.858509064,-76.56994828,Yes,215,-,-,"RIVAS PANDURO, Santiago. 2011. Informe N° 075-2011/AA/MC-DRC-L/SRP. 27 pp. Informe sobre visita al Distrito de Balsapuerto para reconocer y registrar los petroglifos de las cuencas del Cachiyacu y Armanayacu, a solicitud de la ONG Terra Nuova. Presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura."
163,RTL Ojeyacu 9 [RTL IV],-,Loreto,Alto Amazonas,Balsapuerto,-5.858581306,-76.5699846,Yes,215,-,-,"RIVAS PANDURO, Santiago. 2011. Informe N° 075-2011/AA/MC-DRC-L/SRP. 27 pp. Informe sobre visita al Distrito de Balsapuerto para reconocer y registrar los petroglifos de las cuencas del Cachiyacu y Armanayacu, a solicitud de la ONG Terra Nuova. Presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura."
164,RTL Ojeyacu 10 [RTL V],-,Loreto,Alto Amazonas,Balsapuerto,-5.858508887,-76.57001149,Yes,215,-,-,"RIVAS PANDURO, Santiago. 2011. Informe N° 075-2011/AA/MC-DRC-L/SRP. 27 pp. Informe sobre visita al Distrito de Balsapuerto para reconocer y registrar los petroglifos de las cuencas del Cachiyacu y Armanayacu, a solicitud de la ONG Terra Nuova. Presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura."
165,RTL Ojeyacu 11 [RTL VI],-,Loreto,Alto Amazonas,Balsapuerto,-5.85858118,-76.57002976,Yes,215,-,-,"RIVAS PANDURO, Santiago. 2011. Informe N° 075-2011/AA/MC-DRC-L/SRP. 27 pp. Informe sobre visita al Distrito de Balsapuerto para reconocer y registrar los petroglifos de las cuencas del Cachiyacu y Armanayacu, a solicitud de la ONG Terra Nuova. Presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura."
166,RTL Ojeyacu 12 [RTL VII],-,Loreto,Alto Amazonas,Balsapuerto,-5.858517727,-76.57008376,Yes,215,-,-,"RIVAS PANDURO, Santiago. 2011. Informe N° 075-2011/AA/MC-DRC-L/SRP. 27 pp. Informe sobre visita al Distrito de Balsapuerto para reconocer y registrar los petroglifos de las cuencas del Cachiyacu y Armanayacu, a solicitud de la ONG Terra Nuova. Presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura."
167,RTL Ojeyacu 13 [RTL VIII],-,Loreto,Alto Amazonas,Balsapuerto,-5.858499793,-76.57002953,Yes,216,-,-,"RIVAS PANDURO, Santiago. 2011. Informe N° 075-2011/AA/MC-DRC-L/SRP. 27 pp. Informe sobre visita al Distrito de Balsapuerto para reconocer y registrar los petroglifos de las cuencas del Cachiyacu y Armanayacu, a solicitud de la ONG Terra Nuova. Presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura."
168,RTL Ojeyacu 14 [RTL IX],-,Loreto,Alto Amazonas,Balsapuerto,-5.859124161,-76.56988679,No,212,-,-,"RIVAS PANDURO, Santiago. 2011. Informe N° 075-2011/AA/MC-DRC-L/SRP. 27 pp. Informe sobre visita al Distrito de Balsapuerto para reconocer y registrar los petroglifos de las cuencas del Cachiyacu y Armanayacu, a solicitud de la ONG Terra Nuova. Presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura. // Santiago Rivas Panduro, apuntes de campo 2015."
169,RTL Ojeyacu 15 [RTL X],-,Loreto,Alto Amazonas,Balsapuerto,-5.859332453,-76.56977901,No,211,-,-,"RIVAS PANDURO, Santiago. 2011. Informe N° 075-2011/AA/MC-DRC-L/SRP. 27 pp. Informe sobre visita al Distrito de Balsapuerto para reconocer y registrar los petroglifos de las cuencas del Cachiyacu y Armanayacu, a solicitud de la ONG Terra Nuova. Presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura. // Santiago Rivas Panduro, apuntes de campo 2015"
170,RP Piedra del Amor 1,LO-CACHI-17,Loreto,Alto Amazonas,Balsapuerto,-5.872473146,-76.5853933,No,267,-,-,"RIVAS PANDURO, Santiago. 1999. Investigaciones arqueológicas en el Distrito de Balsapuerto: el enigma de los petroglifos de Balsapuerto. 45 pp. Informe presentado a la Municipalidad Distrital de Balsapuerto. Lima, Perú. // RIVAS PANDURO, Santiago. 2000. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
171,RP Piedra del Amor 2,-,Loreto,Alto Amazonas,Balsapuerto,-5.872455028,-76.58539326,Yes,267,-,-,"RIVAS PANDURO, Santiago. 1999. Investigaciones arqueológicas en el Distrito de Balsapuerto: el enigma de los petroglifos de Balsapuerto. 45 pp. Informe presentado a la Municipalidad Distrital de Balsapuerto. Lima, Perú. // RIVAS PANDURO, Santiago. 2000. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
172,AA Nueva Luz,LO-CACHI-21,Loreto,Alto Amazonas,Balsapuerto,-5.851748637,-76.56213635,No,203,-,-,"RIVAS PANDURO, Santiago. 2011. Informe N° 075-2011/AA/MC-DRC-L/SRP. 27 pp. Informe sobre visita al Distrito de Balsapuerto para reconocer y registrar los petroglifos de las cuencas del Cachiyacu y Armanayacu, a solicitud de la ONG Terra Nuova. Presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura."
173,AA Puerto Libre,LO-CACHI-22,Loreto,Alto Amazonas,Balsapuerto,-5.862110845,-76.5495226,No,204,-,-,"RIVAS PANDURO, Santiago. 2011. Informe N° 075-2011/AA/MC-DRC-L/SRP. 27 pp. Informe sobre visita al Distrito de Balsapuerto para reconocer y registrar los petroglifos de las cuencas del Cachiyacu y Armanayacu, a solicitud de la ONG Terra Nuova. Presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura."
174,AA Barrio Canoa Puerto,LO-CACHI-29,Loreto,Alto Amazonas,Balsapuerto,-5.849782512,-76.56349445,No,211,-,-,"JORDÁN BEJARANO, Carlos Francisco. 2006. Informe del proyecto de evaluación arqueológica en el área del Convenio N° 009-2004-FIP entre el Fondo Ítalo Peruano y la Municipalidad de Balsapuerto, Departamento de Loreto, “Proyecto Mejoramiento de Ganado de doble propósito en el Distrito de Balsapuerto”. 44 pp. Presentado al Instituto Nacional de Cultura. Lima, Perú."
175,AA San Lorenzo,LO-CACHI-30,Loreto,Alto Amazonas,Balsapuerto,-5.841089245,-76.54162658,No,202,-,-,"JORDÁN BEJARANO, Carlos Francisco. 2006. Informe del proyecto de evaluación arqueológica en el área del Convenio N° 009-2004-FIP entre el Fondo Ítalo Peruano y la Municipalidad de Balsapuerto, Departamento de Loreto, “Proyecto Mejoramiento de Ganado de doble propósito en el Distrito de Balsapuerto”. 44 pp. Presentado al Instituto Nacional de Cultura. Lima, Perú."
176,RP Chayahuita Roca A,LO-CACHI-31,Loreto,Alto Amazonas,Balsapuerto,-5.865569531,-76.4811433,Yes,297,-,-,"ECHEVARRÍA LÓPEZ, Gori Tumi. 2006.  Petrograbados en la cuenca del río Cachiyacu. Una aproximación arqueológica en contexto industrial. 15 pp. En Rupestreweb, http://www.rupestreweb.info/cachiyacu.html"
177,RP Chayahuita Roca B,-,Loreto,Alto Amazonas,Balsapuerto,-5.865569507,-76.48115233,Yes,297,-,-,"ECHEVARRÍA LÓPEZ, Gori Tumi. 2006.  Petrograbados en la cuenca del río Cachiyacu. Una aproximación arqueológica en contexto industrial. 15 pp. En Rupestreweb, http://www.rupestreweb.info/cachiyacu.html"
178,RP Chayahuita Roca C,-,Loreto,Alto Amazonas,Balsapuerto,-5.865578551,-76.48115235,Yes,298,-,-,"ECHEVARRÍA LÓPEZ, Gori Tumi. 2006.  Petrograbados en la cuenca del río Cachiyacu. Una aproximación arqueológica en contexto industrial. 15 pp. En Rupestreweb, http://www.rupestreweb.info/cachiyacu.html"
179,RP Porotoyacu 1,LO-CACHI-18,Loreto,Alto Amazonas,Balsapuerto,-5.910331369,-76.48900183,No,195,-,-,"RIVAS PANDURO, Santiago. 2000. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
180,RP Porotoyacu 2,-,Loreto,Alto Amazonas,Balsapuerto,-5.910476489,-76.48883063,Yes,194,-,-,"RIVAS PANDURO, Santiago. 2000. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
181,RP Porotoyacu 3,-,Loreto,Alto Amazonas,Balsapuerto,-5.91150745,-76.49219309,Yes,187,-,-,"RIVAS PANDURO, Santiago. 2000. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
182,RP Cucharayacu 1,-,Loreto,Alto Amazonas,Balsapuerto,-5.908052788,-76.48209574,No,193,-,-,"RIVAS PANDURO, Santiago. 2000. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
183,RP Cucharayacu 2,-,Loreto,Alto Amazonas,Balsapuerto,-5.908314682,-76.48223191,No,191,-,-,"RIVAS PANDURO, Santiago. 2000. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
184,RP Cucharayacu 3,LO-CACHI-19,Loreto,Alto Amazonas,Balsapuerto,-5.902610737,-76.48472745,No,219,202,-,"RIVAS PANDURO, Santiago. 2000. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
185,RP Cucharayacu 4,LO-CACHI-20,Loreto,Alto Amazonas,Balsapuerto,-5.891430007,-76.49267221,No,312,322,-,"RIVAS PANDURO, Santiago. 2000. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
186,AA Porotoyacu 4,LO-CACHI-24,Loreto,Alto Amazonas,Balsapuerto,-5.920030353,-76.50408341,No,202,-,-,"RIVAS PANDURO, Santiago. 2011. Informe N° 075-2011/AA/MC-DRC-L/SRP. 27 pp. Informe sobre visita al Distrito de Balsapuerto para reconocer y registrar los petroglifos de las cuencas del Cachiyacu y Armanayacu, a solicitud de la ONG Terra Nuova. Presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura."
187,RP Macamboyacu 1,LO-CACHI-25,Loreto,Alto Amazonas,Balsapuerto,-5.912879378,-76.50991644,No,201,-,-,"RIVAS PANDURO, Santiago. 2011. Informe N° 075-2011/AA/MC-DRC-L/SRP. 27 pp. Informe sobre visita al Distrito de Balsapuerto para reconocer y registrar los petroglifos de las cuencas del Cachiyacu y Armanayacu, a solicitud de la ONG Terra Nuova. Presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura."
